"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"1"	"chr11"	61322107	"cg09959428"	0.391581982177734	0.397334627585694	0.385829336769773
"2"	"chr11"	61322255	"cg17147820"	0.307425419665912	0.315723142610657	0.299127696721167
"3"	"chr11"	61322742	"cg08922201"	0.47443354726853	0.479730385552005	0.469136708985055
"4"	"chr11"	61322922	"cg08360511"	0.0661479690395124	0.0675027878342216	0.0647931502448032
"5"	"chr11"	61323029	"cg00998427"	0.0562583907998546	0.057795185021204	0.0547215965785052
"6"	"chr11"	61323113	"cg15492820"	0.106066740123369	0.108305873491069	0.10382760675567
"7"	"chr11"	61323284	"cg02950427"	0.361870070784542	0.367278178739266	0.356461962829819
"8"	"chr11"	61323413	"cg01996653"	0.355829198817137	0.362769910862693	0.348888486771581
"9"	"chr11"	61323667	"cg14161454"	0.779302303356935	0.788219699943407	0.770384906770462
"10"	"chr11"	61324205	"cg25149253"	0.935853470019671	0.939485140663856	0.932221799375486
"11"	"chr11"	61324780	"cg05131646"	0.531065797213664	0.537714662353816	0.524416932073512
"12"	"chr11"	61326580	"cg05399214"	0.871912276782567	0.876943530831299	0.866881022733835
"13"	"chr11"	61332706	"cg10127085"	0.787995836980586	0.797282244438851	0.77870942952232
"14"	"chr11"	61334385	"cg23370512"	0.620177789008928	0.628911796142257	0.611443781875598
"15"	"chr11"	61334859	"cg06963109"	0.0354748379101219	0.0363366341033645	0.0346130417168793
"16"	"chr11"	61335071	"cg12189835"	0.137748921972047	0.143471090397936	0.132026753546158
"17"	"chr11"	61335113	"cg18622870"	0.129403500847305	0.132545118693081	0.126261883001529
"18"	"chr11"	61335254	"cg03200166"	0.156006981870447	0.165787505497521	0.146226458243374
"19"	"chr11"	61335269	"cg27094244"	0.137693718743161	0.144466070808323	0.130921366678
"20"	"chr11"	61335600	"cg02895447"	0.63828704161682	0.6507298577112	0.62584422552244
"21"	"chr11"	61338462	"cg11345703"	0.728318875889924	0.735495661827701	0.721142089952148
"22"	"chr11"	61344823	"cg23764008"	0.81321704811845	0.818421386701815	0.808012709535084
"23"	"chr11"	61347003	"cg11198895"	0.571640686175105	0.584221981553713	0.559059390796497
"24"	"chr11"	61347820	"cg02104644"	0.237248340586294	0.244470310589473	0.230026370583115
"25"	"chr11"	61348084	"cg25509872"	0.133368462924408	0.138770367004649	0.127966558844168
"26"	"chr11"	61348278	"cg25994096"	0.0810799601748396	0.0830165976618776	0.0791433226878015
"27"	"chr11"	61348901	"cg14572111"	0.0665658783676596	0.0677640044477072	0.065367752287612
"28"	"chr11"	61348922	"cg02514519"	0.215701100066195	0.221080603425194	0.210321596707195
"29"	"chr11"	61349094	"cg16965393"	0.0656601858785687	0.0669288746191359	0.0643914971380015
"30"	"chr11"	61349543	"cg12693641"	0.419368245987195	0.423978733400811	0.414757758573578
"31"	"chr11"	61349648	"cg14851471"	0.687664741090492	0.693212548334894	0.682116933846091
"32"	"chr11"	61354875	"cg19130175"	0.365357357289093	0.37164315712016	0.359071557458025
"33"	"chr11"	61355119	"cg07348481"	0.446813732179815	0.452671500577738	0.440955963781892
"34"	"chr11"	61355200	"cg21628200"	0.128078245663194	0.131925735460778	0.12423075586561
"35"	"chr11"	61355317	"cg08134631"	0.0432981628188732	0.0460054016806314	0.040590923957115
"36"	"chr11"	61355505	"cg12087801"	0.0871157012044119	0.108903597132133	0.065327805276691
"37"	"chr11"	61355776	"cg12205564"	0.141985549950917	0.150340511866134	0.133630588035699
"38"	"chr11"	61357547	"cg03004417"	0.969219766796917	0.970166600525491	0.968272933068343
"39"	"chr11"	61370871	"cg01569082"	0.917468876547879	0.92134700404004	0.913590749055718
"40"	"chr11"	61377918	"cg01784825"	0.784783215542801	0.791510019168162	0.77805641191744
"41"	"chr11"	61381267	"cg06707663"	0.42011056650784	0.427846758646631	0.412374374369049
"42"	"chr11"	61381709	"cg04186580"	0.95083883412649	0.952436669568021	0.949240998684959
